2.jpg	[[[[126.0, 262.0], [198.0, 274.0], [195.0, 291.0], [123.0, 280.0]], ('’„œÛ”Ê25237', 0.5442101)]]
2372.jpg	[[[[239.0, 284.0], [443.0, 348.0], [427.0, 394.0], [224.0, 330.0]], ('À’∏””Ê02778', 0.9695176)]]
2373.jpg	[[[[13.0, 103.0], [361.0, 190.0], [344.0, 260.0], [0.0, 173.0]], ('¬≥≥«”Ê62626', 0.8639951)]]
2375.jpg	[[[[336.0, 352.0], [530.0, 399.0], [519.0, 444.0], [325.0, 397.0]], ('√ˆ ®”Ê07586', 0.8215066)]]
2378.jpg	[[[[255.0, 285.0], [361.0, 311.0], [354.0, 336.0], [248.0, 311.0]], ('«‡–¬”Ê65828', 0.9101629)]]
2381.jpg	[[[[348.0, 383.0], [459.0, 359.0], [465.0, 388.0], [354.0, 412.0]], ('‘¡µÁ”Ê92369', 0.95402503)]]
2385.jpg	[[[[256.0, 452.0], [386.0, 435.0], [390.0, 465.0], [260.0, 483.0]], ('‘¡ƒœ∞ƒ”Ê33166', 0.84897417)]]
2387.jpg	[[[[160.0, 392.0], [400.0, 340.0], [411.0, 390.0], [171.0, 442.0]], ('√ˆΩ˙”„05815', 0.6910766)]]
2388.jpg	[[[[22.0, 519.0], [274.0, 534.0], [271.0, 578.0], [20.0, 563.0]], ('¬≥≥«”Ê60026', 0.94496137)]]
2395.jpg	[[[[168.0, 168.0], [547.0, 34.0], [561.0, 134.0], [203.0, 267.0]], ('’„œÛ”Ê25306', 0.7267926)]]
2397.jpg	[[[[75.0, 396.0], [401.0, 405.0], [400.0, 463.0], [74.0, 454.0]], ('’„·””Ê0310', 0.60455006)]]
2398.jpg	[[[[361.0, 588.0], [561.0, 632.0], [550.0, 687.0], [349.0, 642.0]], ('‘¡ƒœ∞ƒ”Ê2109', 0.8401495)]]
2400.jpg	[[[[441.0, 213.0], [610.0, 234.0], [606.0, 269.0], [437.0, 248.0]], ('ΩÚÃ¡”Ê03896', 0.93013823)]]
2405.jpg	[[[[203.0, 303.0], [449.0, 217.0], [465.0, 262.0], [220.0, 348.0]], ('¬≥»È”Ê51177', 0.97777784)]]
2410.jpg	[[[[24.0, 440.0], [202.0, 488.0], [193.0, 521.0], [15.0, 474.0]], ('À’∏””Ê‘À02689', 0.97122216)]]
2414.jpg	[[[[427.0, 220.0], [521.0, 205.0], [526.0, 232.0], [432.0, 248.0]], ('‘¡÷È”Ê90011', 0.768927)]]
2416.jpg	[[[[91.0, 418.0], [423.0, 471.0], [411.0, 548.0], [79.0, 495.0]], ('√ˆ∏£∂¶”Ê08272', 0.6893488)]]
2418.jpg	[[[[320.0, 93.0], [355.0, 93.0], [355.0, 106.0], [320.0, 106.0]], ('≥§∆Ω88', 0.81258935)]]
2420.jpg	[[[[265.0, 139.0], [329.0, 194.0], [303.0, 225.0], [239.0, 170.0]], ('À’∏””Ê027', 0.72445506)]]
2422.jpg	[[[[247.0, 544.0], [462.0, 523.0], [468.0, 580.0], [252.0, 601.0]], ('¬≥Ω∫”Ê60632', 0.77809435)]]
2423.jpg	[[[[218.0, 343.0], [542.0, 332.0], [544.0, 396.0], [221.0, 406.0]], ('√ˆΩ˙”Ê05835', 0.73517966)]]
2428.jpg	[[[[357.0, 227.0], [545.0, 234.0], [544.0, 265.0], [356.0, 258.0]], ('‘¡Ω≠≥«”Ê41088', 0.7517614)]]
2431.jpg	[[[[347.0, 193.0], [473.0, 221.0], [466.0, 248.0], [341.0, 220.0]], ('‘¡—ÙŒ˜”Ê31618', 0.9279533)]]
2435.jpg	[[[[341.0, 341.0], [543.0, 315.0], [548.0, 355.0], [346.0, 381.0]], ('’„·””Ê05848', 0.67896336)]]
2437.jpg	[[[[12.0, 331.0], [274.0, 319.0], [277.0, 372.0], [15.0, 384.0]], ('√ˆ ®”Ê08769', 0.93687207)]]
2449.jpg	[[[[41.0, 292.0], [264.0, 282.0], [265.0, 318.0], [42.0, 328.0]], ('¬≥ Ÿ”Ê65267', 0.99059343)]]
2451.jpg	[[[[92.0, 332.0], [398.0, 323.0], [400.0, 395.0], [95.0, 404.0]], ('’„œÛ”Ê49272', 0.82052344)]]
2458.jpg	[[[[110.0, 192.0], [267.0, 186.0], [268.0, 214.0], [111.0, 220.0]], ('’„œÛ”Ê40058', 0.9068387)]]
2459.jpg	[[[[12.0, 252.0], [223.0, 209.0], [231.0, 245.0], [19.0, 288.0]], ('√ˆ ®”Ê08768', 0.87093407)]]
2461.jpg	[[[[211.0, 201.0], [417.0, 222.0], [413.0, 258.0], [208.0, 237.0]], ('¬≥≥«”Ê60129', 0.99125576)]]
2464.jpg	[[[[114.0, 77.0], [316.0, 177.0], [293.0, 224.0], [90.0, 124.0]], ('À’∏””Ê02492', 0.9326757)]]
2465.jpg	[[[[250.0, 498.0], [593.0, 404.0], [605.0, 449.0], [262.0, 542.0]], ('¡…Ωı”Ê1567', 0.758118)]]
2467.jpg	[[[[198.0, 377.0], [324.0, 337.0], [332.0, 361.0], [205.0, 402.0]], ('√ˆΩ˙”Ê05862', 0.7530344)]]
2470.jpg	[[[[284.0, 268.0], [415.0, 284.0], [411.0, 317.0], [280.0, 300.0]], ('¬≥≥«”Ê60682', 0.7985787)]]
2473.jpg	[[[[139.0, 234.0], [217.0, 234.0], [217.0, 257.0], [139.0, 257.0]], ('ÃÏÃ©1∫≈', 0.9719344)]]
2475.jpg	[[[[27.0, 218.0], [450.0, 301.0], [437.0, 367.0], [14.0, 285.0]], ('¬≥»’…Ω”Ê61219', 0.99375904)]]
2476.jpg	[[[[24.0, 395.0], [180.0, 408.0], [177.0, 443.0], [21.0, 430.0]], ('’„œÛ”Ê48083', 0.65649045)]]
2477.jpg	[[[[331.0, 313.0], [419.0, 341.0], [410.0, 372.0], [322.0, 344.0]], ('π±±”Ê27103', 0.7668188)]]
2480.jpg	[[[[129.0, 178.0], [394.0, 127.0], [405.0, 183.0], [140.0, 234.0]], ('À’∏””Ê02766', 0.8158446)]]
2481.jpg	[[[[53.0, 349.0], [344.0, 340.0], [346.0, 380.0], [54.0, 389.0]], ('‘¡√Ø±ı”Ê42600', 0.7099869)]]
2482.jpg	[[[[31.0, 376.0], [309.0, 606.0], [258.0, 667.0], [0.0, 438.0]], ('’„œÛ”Ê49406', 0.54918283)]]
2484.jpg	[[[[101.0, 72.0], [197.0, 123.0], [177.0, 161.0], [81.0, 110.0]], ('’„¡Î”Ê23923', 0.69793344)]]
2485.jpg	[[[[244.0, 181.0], [338.0, 172.0], [340.0, 196.0], [247.0, 205.0]], ('¬≥·∞”Ê60003', 0.6712804)]]
2488.jpg	[[[[198.0, 376.0], [326.0, 335.0], [334.0, 360.0], [205.0, 400.0]], ('√ˆΩ˙”Ê05862', 0.8471266)]]
2489.jpg	[[[[64.0, 470.0], [326.0, 413.0], [340.0, 474.0], [77.0, 531.0]], ('¡…µ§”Ê23751', 0.70716214)]]
2490.jpg	[[[[283.0, 391.0], [410.0, 361.0], [416.0, 389.0], [290.0, 419.0]], ('À’»Á”Ê07186', 0.9804543)]]
2491.jpg	[[[[324.0, 269.0], [504.0, 298.0], [498.0, 334.0], [318.0, 304.0]], ('√ˆ ®”Ê07586', 0.8802527)]]
2492.jpg	[[[[67.0, 208.0], [290.0, 272.0], [280.0, 307.0], [57.0, 243.0]], ('∆Ù”Ê‘À08266', 0.89360774)]]
2494.jpg	[[[[252.0, 482.0], [522.0, 425.0], [534.0, 480.0], [264.0, 537.0]], ('À’∏””Ê02766', 0.772728)]]
2495.jpg	[[[[223.0, 693.0], [543.0, 658.0], [548.0, 709.0], [228.0, 744.0]], ('¬≥≥«”Ê—¯6500', 0.9112926)]]
2497.jpg	[[[[232.0, 171.0], [547.0, 276.0], [519.0, 360.0], [204.0, 255.0]], ('‘¡ÀÏ”Ê11128', 0.877587)]]
2498.jpg	[[[[88.0, 149.0], [160.0, 160.0], [158.0, 173.0], [86.0, 162.0]], ('¬≥·∞”Ê60003', 0.8636279)]]
2500.jpg	[[[[361.0, 166.0], [480.0, 156.0], [483.0, 188.0], [364.0, 197.0]], ('¬≥Ω∫”Ê60954', 0.9072263)]]
2506.jpg	[[[[238.0, 305.0], [459.0, 344.0], [450.0, 394.0], [229.0, 355.0]], ('’„œÛ”Ê67055', 0.8099295)]]
2508.jpg	[[[[38.0, 121.0], [146.0, 171.0], [129.0, 209.0], [21.0, 159.0]], ('¬≥·∞”Ê63311', 0.6376469)]]
2509.jpg	[[[[93.0, 29.0], [561.0, 112.0], [549.0, 257.0], [68.0, 175.0]], ('’„œÛ”Ê12077', 0.70821923)]]
2510.jpg	[[[[292.0, 134.0], [400.0, 110.0], [404.0, 128.0], [296.0, 152.0]], ('À’∏””Ê02909', 0.9495563)]]
2511.jpg	[[[[149.0, 190.0], [371.0, 229.0], [364.0, 269.0], [142.0, 230.0]], ('¬≥≥«”Ê60129', 0.9928304)]]
2512.jpg	[[[[75.0, 905.0], [285.0, 829.0], [311.0, 903.0], [102.0, 978.0]], ('‘¡Ã®”Ê62471', 0.82181996)]]
2514.jpg	[[[[291.0, 247.0], [373.0, 194.0], [394.0, 225.0], [311.0, 278.0]], ('÷€‘∂”Ê2608', 0.6763591)]]
2515.jpg	[[[[19.0, 276.0], [246.0, 291.0], [243.0, 339.0], [16.0, 324.0]], ('¬≥Ω∫”Ê60668', 0.86910135)]]
2518.jpg	[[[[257.0, 344.0], [308.0, 338.0], [334.0, 575.0], [284.0, 581.0]], ('¬≥≥«”Ê60129', 0.96398276)]]
2521.jpg	[[[[105.0, 462.0], [264.0, 506.0], [255.0, 539.0], [96.0, 495.0]], ('À’∏””Ê‘À02689', 0.90498024)]]
2523.jpg	[[[[152.0, 282.0], [408.0, 345.0], [398.0, 385.0], [142.0, 323.0]], ('√ˆΩ˙”Ê05761', 0.8637314)]]
2524.jpg	[[[[283.0, 173.0], [385.0, 158.0], [388.0, 176.0], [286.0, 192.0]], ('‘¡Ã®”Ê‘À01216', 0.67306376)]]
2526.jpg	[[[[290.0, 356.0], [374.0, 372.0], [368.0, 399.0], [284.0, 383.0]], ('√ˆΩ˙”Ê05869', 0.78037596)]]
2527.jpg	[[[[324.0, 625.0], [391.0, 619.0], [413.0, 886.0], [345.0, 891.0]], ('’„œÛ”Ê43081', 0.7148734)]]
2528.jpg	[[[[214.0, 333.0], [523.0, 253.0], [541.0, 323.0], [232.0, 403.0]], ('√ˆ ®”Ê06896', 0.83535576)]]
2529.jpg	[[[[246.0, 54.0], [355.0, 44.0], [357.0, 69.0], [248.0, 79.0]], ('¬≥Ω∫”Ê60954', 0.9567582)]]
2530.jpg	[[[[325.0, 378.0], [477.0, 335.0], [486.0, 366.0], [333.0, 409.0]], ('¬≥Ω∫ƒœ”Ê70117', 0.83479065)]]
2539.jpg	[[[[132.0, 355.0], [283.0, 395.0], [274.0, 431.0], [123.0, 390.0]], ('¬≥»’…Ω”„—¯6600', 0.7397138)]]
2541.jpg	[[[[79.0, 99.0], [243.0, 96.0], [244.0, 130.0], [80.0, 132.0]], ('π∫œ”Ê23186', 0.8008436)]]
2543.jpg	[[[[241.0, 350.0], [598.0, 370.0], [596.0, 411.0], [238.0, 391.0]], ('¡…∫˘”Ê‘À15555', 0.6848471)]]
2544.jpg	[[[[73.0, 461.0], [533.0, 486.0], [529.0, 564.0], [69.0, 538.0]], ('’„·””Ê1411', 0.55676967)]]
2546.jpg	[[[[113.0, 236.0], [228.0, 236.0], [228.0, 261.0], [113.0, 261.0]], ('¬≥≥«”Ê62998', 0.8914379)]]
2547.jpg	[[[[218.0, 122.0], [316.0, 108.0], [319.0, 131.0], [221.0, 145.0]], ('‘¡ƒœ∞ƒ”Ê31309', 0.5917932)]]
2551.jpg	[[[[52.0, 291.0], [285.0, 277.0], [287.0, 320.0], [54.0, 333.0]], ('√ˆ ®”Ê07586', 0.92454076)]]
2553.jpg	[[[[184.0, 299.0], [338.0, 204.0], [367.0, 253.0], [213.0, 347.0]], ('¬≥Ω∫”Ê60076', 0.743212)]]
2554.jpg	[[[[532.0, 214.0], [681.0, 190.0], [686.0, 222.0], [537.0, 246.0]], ('’„∂¥”Ê30065', 0.8377986)]]
2555.jpg	[[[[81.0, 162.0], [290.0, 217.0], [279.0, 257.0], [71.0, 201.0]], ('¬≥«‡–¬”Ê65828', 0.8970826)]]
2556.jpg	[[[[206.0, 351.0], [391.0, 379.0], [385.0, 417.0], [200.0, 388.0]], ('‘¡ƒœ∞ƒ”Ê32111', 0.7949537)]]
2557.jpg	[[[[49.0, 189.0], [172.0, 229.0], [159.0, 268.0], [37.0, 228.0]], ('ƒœ∞ƒ”Ê24086', 0.6845004)]]
2559.jpg	[[[[131.0, 137.0], [451.0, 179.0], [443.0, 237.0], [123.0, 196.0]], ('√ˆ ®”Ê06537', 0.94769406)]]
2560.jpg	[[[[266.0, 112.0], [344.0, 110.0], [345.0, 126.0], [266.0, 128.0]], ('¬≥·∞”Ê60099', 0.8072523)]]
2561.jpg	[[[[111.0, 171.0], [175.0, 192.0], [169.0, 212.0], [105.0, 191.0]], ('‘∂”Ê7604', 0.90215)]]
2562.jpg	[[[[319.0, 493.0], [441.0, 517.0], [436.0, 544.0], [314.0, 520.0]], ('¬≥»’…Ω”Ê61015', 0.91848236)]]
2564.jpg	[[[[18.0, 375.0], [323.0, 392.0], [320.0, 444.0], [15.0, 427.0]], ('√ˆ ®”Ê06537', 0.978135)]]
2570.jpg	[[[[199.0, 201.0], [294.0, 220.0], [289.0, 244.0], [194.0, 224.0]], ('µ§∫£±ﬂªı508', 0.86214584)]]
2572.jpg	[[[[385.0, 350.0], [530.0, 330.0], [534.0, 357.0], [388.0, 377.0]], ('√ˆΩ˙”Ê05862', 0.8627283)]]
2574.jpg	[[[[194.0, 552.0], [246.0, 548.0], [269.0, 804.0], [216.0, 809.0]], ('¬≥≥«”Ê60129', 0.96517575)]]
2578.jpg	[[[[191.0, 416.0], [301.0, 436.0], [295.0, 467.0], [185.0, 447.0]], ('√ˆΩ˙”Ê05815', 0.73418134)]]
2580.jpg	[[[[295.0, 240.0], [410.0, 220.0], [415.0, 244.0], [299.0, 264.0]], ('¬≥·¿”Ê61818', 0.8740297)]]
2581.jpg	[[[[255.0, 72.0], [376.0, 94.0], [371.0, 122.0], [250.0, 101.0]], ('’„œÛ”Ê30221', 0.8084457)]]
2584.jpg	[[[[183.0, 280.0], [448.0, 325.0], [441.0, 367.0], [176.0, 322.0]], ('¬≥ Ÿ”Ê65267', 0.9902127)]]
2595.jpg	[[[[164.0, 209.0], [337.0, 234.0], [333.0, 265.0], [159.0, 241.0]], ('¬≥≥«”Ê60682', 0.816187)]]
2603.jpg	[[[[93.0, 432.0], [366.0, 436.0], [365.0, 498.0], [92.0, 494.0]], ('√ˆΩ˙”Ê05883', 0.708161)]]
2607.jpg	[[[[383.0, 77.0], [597.0, 125.0], [585.0, 183.0], [371.0, 135.0]], ('’„¡Î”Ê74016', 0.73393357)]]
2609.jpg	[[[[184.0, 455.0], [300.0, 432.0], [306.0, 461.0], [190.0, 484.0]], ('‘¡ƒœ∞ƒ”Ê12094', 0.80088514)]]
2611.jpg	[[[[313.0, 538.0], [501.0, 505.0], [507.0, 538.0], [319.0, 571.0]], ('√ˆ ®”Ê06509', 0.8816248)]]
2615.jpg	[[[[643.0, 296.0], [833.0, 269.0], [838.0, 302.0], [648.0, 330.0]], ('√ˆΩ˙”Ê05692', 0.8256002)]]
2616.jpg	[[[[198.0, 196.0], [293.0, 225.0], [285.0, 253.0], [189.0, 224.0]], ('‘¡–¬ª·”Ê20096', 0.8511674)]]
2617.jpg	[[[[364.0, 278.0], [463.0, 252.0], [471.0, 279.0], [372.0, 306.0]], ('’„‘∂∂´806', 0.9630563)]]
2619.jpg	[[[[549.0, 312.0], [714.0, 293.0], [718.0, 327.0], [553.0, 346.0]], ('√ˆΩ˙”Ê05692', 0.74029934)]]
2621.jpg	[[[[106.0, 280.0], [307.0, 355.0], [287.0, 407.0], [87.0, 332.0]], ('‘¡µÁ”Ê92688', 0.91909236)]]
2622.jpg	[[[[110.0, 151.0], [284.0, 155.0], [283.0, 190.0], [109.0, 186.0]], ('π∫œ”Ê23186', 0.8891729)]]
2625.jpg	[[[[263.0, 75.0], [513.0, 72.0], [513.0, 134.0], [264.0, 137.0]], ('¬≥»’…Ω”Ê61030', 0.96549606)]]
2629.jpg	[[[[60.0, 611.0], [324.0, 606.0], [325.0, 646.0], [60.0, 651.0]], ('¬≥»Ÿ”Ê52268', 0.90522194)]]
2630.jpg	[[[[321.0, 537.0], [541.0, 577.0], [531.0, 629.0], [311.0, 588.0]], ('¬≥Ω∫”Ê—¯66167', 0.85282034)]]
2631.jpg	[[[[224.0, 201.0], [391.0, 227.0], [383.0, 274.0], [217.0, 248.0]], ('’„”Ò”Ê11088', 0.5877762)]]
2637.jpg	[[[[307.0, 310.0], [532.0, 347.0], [523.0, 397.0], [299.0, 359.0]], ('’„œÛ”Ê67055', 0.80622864)]]
2638.jpg	[[[[231.0, 296.0], [324.0, 327.0], [314.0, 356.0], [221.0, 325.0]], ('π±±”Ê27103', 0.8439709)]]
2640.jpg	[[[[218.0, 359.0], [374.0, 345.0], [377.0, 378.0], [221.0, 392.0]], ('À’∏””Ê‘À02111', 0.98139286)]]
2642.jpg	[[[[40.0, 325.0], [351.0, 317.0], [353.0, 388.0], [42.0, 396.0]], ('’„œÛ”Ê49272', 0.84566057)]]
2648.jpg	[[[[324.0, 523.0], [465.0, 513.0], [467.0, 536.0], [325.0, 545.0]], ('÷–π˙”Ê’˛45003', 0.9699741)]]
2651.jpg	[[[[126.0, 110.0], [211.0, 96.0], [215.0, 120.0], [130.0, 134.0]], ('«Ì«Ì∫£08007', 0.61647236)]]
2652.jpg	[[[[40.0, 107.0], [141.0, 118.0], [139.0, 139.0], [38.0, 127.0]], ('À’∏””Ê02566', 0.84437335)]]
2653.jpg	[[[[304.0, 438.0], [430.0, 424.0], [433.0, 450.0], [307.0, 464.0]], ('¬≥·¿”Ê72888', 0.7863844)]]
2658.jpg	[[[[80.0, 192.0], [169.0, 194.0], [168.0, 217.0], [80.0, 216.0]], ('√ˆœº”Ê01956', 0.7016915)]]
2659.jpg	[[[[110.0, 142.0], [218.0, 110.0], [225.0, 135.0], [117.0, 167.0]], ('«Ì»˝—«”Ê72277', 0.8712496)]]
2661.jpg	[[[[545.0, 551.0], [702.0, 537.0], [703.0, 588.0], [550.0, 602.0]], ('∂´Ω≠∫˛7∫≈', 0.79355747)]]
2662.jpg	[[[[39.0, 359.0], [284.0, 431.0], [272.0, 469.0], [28.0, 397.0]], ('À’∏””Ê‘À02188', 0.9888115)]]
2670.jpg	[[[[356.0, 363.0], [499.0, 413.0], [486.0, 451.0], [342.0, 401.0]], ('‘¡ƒœ∞ƒ”Ê24086', 0.8027254)]]
2671.jpg	[[[[261.0, 274.0], [407.0, 252.0], [411.0, 279.0], [265.0, 300.0]], ('¬≥»È”Ê51178', 0.88359565)]]
2676.jpg	[[[[110.0, 458.0], [547.0, 331.0], [561.0, 408.0], [133.0, 535.0]], ('√ˆΩ˙”Ê05457', 0.9530496)]]
2677.jpg	[[[[151.0, 495.0], [297.0, 498.0], [297.0, 526.0], [150.0, 523.0]], ('À’∏””Ê02631', 0.81186604)]]
2679.jpg	[[[[322.0, 289.0], [450.0, 282.0], [451.0, 306.0], [324.0, 314.0]], ('÷–π˙”Ê’˛37078', 0.88177115)]]
2681.jpg	[[[[132.0, 508.0], [218.0, 505.0], [219.0, 527.0], [133.0, 529.0]], ('¡…µ§”Ê25009', 0.8033033)]]
2682.jpg	[[[[1.0, 617.0], [59.0, 610.0], [94.0, 893.0], [37.0, 900.0]], ('¬≥»’…Ω”Ê68018', 0.773603)]]
2685.jpg	[[[[222.0, 402.0], [294.0, 408.0], [291.0, 435.0], [220.0, 429.0]], ('¬≥Õ˛”Ê0618', 0.5958397)]]
2686.jpg	[[[[283.0, 347.0], [456.0, 391.0], [440.0, 454.0], [267.0, 410.0]], ('‘¡µÁ”Ê03019', 0.9449665)]]
2689.jpg	[[[[265.0, 127.0], [361.0, 114.0], [363.0, 134.0], [268.0, 146.0]], ('¬≥·∞”Ê60099', 0.9026985)]]
2690.jpg	[[[[7.0, 134.0], [471.0, 195.0], [456.0, 315.0], [0.0, 254.0]], ('’„œÛ”Ê20017', 0.6776453)]]
2694.jpg	[[[[165.0, 249.0], [368.0, 255.0], [367.0, 290.0], [164.0, 285.0]], ('¬≥≥«”Ê60129', 0.99166846)]]
2698.jpg	[[[[237.0, 224.0], [516.0, 264.0], [507.0, 323.0], [228.0, 284.0]], ('’„¡Î”Ê29529', 0.6272557)]]
2704.jpg	[[[[627.0, 297.0], [810.0, 275.0], [814.0, 309.0], [631.0, 330.0]], ('√ˆΩ˙”Ê05692', 0.88003206)]]
2706.jpg	[[[[13.0, 194.0], [439.0, 280.0], [426.0, 346.0], [0.0, 260.0]], ('¬≥»’…Ω”Ê61219', 0.9899526)]]
2708.jpg	[[[[203.0, 280.0], [528.0, 297.0], [525.0, 348.0], [201.0, 331.0]], ('¡…”™”Ê56056', 0.9880725)]]
2709.jpg	[[[[125.0, 465.0], [282.0, 490.0], [274.0, 538.0], [118.0, 513.0]], ('‘¡ƒœ∞ƒ”Ê12094', 0.86394495)]]
2711.jpg	[[[[257.0, 247.0], [403.0, 238.0], [405.0, 265.0], [258.0, 273.0]], ('¬≥»’…Ω”Ê61099', 0.8834896)]]
2713.jpg	[[[[150.0, 171.0], [500.0, 406.0], [441.0, 493.0], [91.0, 259.0]], ('¬≥≥§”Ê—¯68511', 0.960369)]]
2714.jpg	[[[[245.0, 483.0], [479.0, 475.0], [480.0, 508.0], [246.0, 515.0]], ('¡…”™”Ê26111', 0.9881125)]]
2721.jpg	[[[[211.0, 213.0], [273.0, 217.0], [272.0, 235.0], [210.0, 232.0]], ('÷–π˙∫£º‡75', 0.7795684)]]
2722.jpg	[[[[161.0, 109.0], [331.0, 124.0], [328.0, 161.0], [157.0, 146.0]], ('¬≥≥«”Ê60117', 0.9029724)]]
2725.jpg	[[[[296.0, 403.0], [417.0, 373.0], [424.0, 403.0], [303.0, 433.0]], ('¬≥Ω∫”Ê—¯66008', 0.7618563)]]
2727.jpg	[[[[254.0, 47.0], [416.0, 74.0], [411.0, 100.0], [250.0, 73.0]], ('ΩÚÃ¡”Ê03585', 0.98309946)]]
2729.jpg	[[[[49.0, 533.0], [337.0, 505.0], [342.0, 556.0], [54.0, 584.0]], ('’„œÛ”Ê–›00017', 0.6590038)]]
2731.jpg	[[[[309.0, 224.0], [476.0, 238.0], [474.0, 273.0], [306.0, 260.0]], ('¬≥≥«”Ê60117', 0.96860105)]]
2735.jpg	[[[[33.0, 178.0], [200.0, 122.0], [211.0, 152.0], [43.0, 207.0]], ('¡…”™”Ê‘À36006', 0.97919106)]]
2737.jpg	[[[[401.0, 491.0], [642.0, 482.0], [643.0, 519.0], [403.0, 527.0]], ('¡…”™”Ê26111', 0.9877534)]]
2743.jpg	[[[[260.0, 299.0], [559.0, 212.0], [579.0, 285.0], [280.0, 372.0]], ('¡…”™”Ê51888', 0.7507349)]]
2748.jpg	[[[[273.0, 556.0], [488.0, 575.0], [484.0, 619.0], [268.0, 600.0]], ('√ˆ’ƒ”Ê60593', 0.8332118)]]
2752.jpg	[[[[153.0, 256.0], [272.0, 280.0], [266.0, 308.0], [147.0, 284.0]], ('µ§∫£±ﬂ√≥508', 0.9067697)]]
2753.jpg	[[[[317.0, 316.0], [493.0, 335.0], [489.0, 370.0], [313.0, 351.0]], ('√ˆ ®”Ê07586', 0.8969041)]]
2754.jpg	[[[[99.0, 302.0], [266.0, 350.0], [256.0, 387.0], [88.0, 338.0]], ('À’∏””Ê04490', 0.97253895)]]
2755.jpg	[[[[86.0, 420.0], [349.0, 404.0], [352.0, 453.0], [90.0, 470.0]], ('√ˆΩ˙”Ê05659', 0.75678825)]]
2757.jpg	[[[[373.0, 350.0], [575.0, 334.0], [577.0, 364.0], [375.0, 380.0]], ('¬≥Ω∫”Ê60697', 0.98359334)]]
2758.jpg	[[[[131.0, 460.0], [297.0, 483.0], [290.0, 533.0], [124.0, 511.0]], ('‘¡ƒœ∞ƒ”Ê12094', 0.83686775)]]
2759.jpg	[[[[346.0, 201.0], [495.0, 235.0], [484.0, 283.0], [335.0, 249.0]], ('√ˆ ®”Ê06522', 0.8098388)]]
2760.jpg	[[[[429.0, 510.0], [671.0, 502.0], [672.0, 537.0], [430.0, 545.0]], ('¡…”™”Ê26111', 0.9856821)]]
2761.jpg	[[[[363.0, 406.0], [489.0, 414.0], [487.0, 445.0], [361.0, 437.0]], ('«Ì¡Ÿ”Ê00512', 0.90206486)]]
2763.jpg	[[[[40.0, 332.0], [273.0, 366.0], [266.0, 412.0], [33.0, 378.0]], ('¬≥¿≥÷›”Ê66379', 0.9192401)]]
2764.jpg	[[[[95.0, 174.0], [265.0, 197.0], [260.0, 232.0], [91.0, 208.0]], ('À’¥Û”Ê—¯08109', 0.98947674)]]
2765.jpg	[[[[223.0, 192.0], [397.0, 220.0], [393.0, 249.0], [219.0, 220.0]], ('ΩÚÃ¡”Ê03585', 0.95030534)]]
2766.jpg	[[[[55.0, 356.0], [226.0, 374.0], [223.0, 405.0], [52.0, 387.0]], ('À’∏””Ê‘À02869', 0.82907516)]]
2767.jpg	[[[[30.0, 528.0], [382.0, 491.0], [387.0, 542.0], [36.0, 579.0]], ('¬≥Ω∫”Ê60106', 0.9692211)]]
2769.jpg	[[[[242.0, 381.0], [366.0, 422.0], [344.0, 488.0], [220.0, 447.0]], ('∫∫»Ÿ356', 0.60865515)]]
2770.jpg	[[[[627.0, 217.0], [984.0, 189.0], [989.0, 245.0], [631.0, 273.0]], ('«Ì«Ì∫£09045', 0.93925506)]]
2772.jpg	[[[[251.0, 452.0], [456.0, 410.0], [465.0, 453.0], [260.0, 495.0]], ('‘¡ƒœ∞ƒ”Ê12094', 0.8385405)]]
2773.jpg	[[[[364.0, 266.0], [485.0, 249.0], [488.0, 274.0], [368.0, 292.0]], ('√ˆ’ƒ”Ê60216', 0.8091954)]]
2774.jpg	[[[[152.0, 267.0], [428.0, 189.0], [440.0, 232.0], [164.0, 311.0]], ('¬≥·∞”Ê—¯6962', 0.76906675)]]
2775.jpg	[[[[313.0, 396.0], [437.0, 366.0], [444.0, 394.0], [320.0, 424.0]], ('À’»Á”Ê07186', 0.94227195)]]
2777.jpg	[[[[9.0, 434.0], [302.0, 331.0], [330.0, 409.0], [37.0, 511.0]], ('’„œÛ”Ê43052', 0.74634266)]]
2778.jpg	[[[[169.0, 263.0], [381.0, 305.0], [372.0, 347.0], [161.0, 305.0]], ('À’∏””Ê02033', 0.98600584)]]
2781.jpg	[[[[92.0, 562.0], [358.0, 600.0], [353.0, 640.0], [87.0, 602.0]], ('¬≥ Ÿ”Ê65267', 0.99003434)]]
2784.jpg	[[[[111.0, 401.0], [411.0, 413.0], [409.0, 465.0], [109.0, 453.0]], ('√ˆ ®”Ê06537', 0.96377075)]]
2785.jpg	[[[[249.0, 391.0], [361.0, 431.0], [350.0, 461.0], [238.0, 422.0]], ('∏””Ê‘À04259', 0.81459576)]]
2786.jpg	[[[[172.0, 323.0], [549.0, 279.0], [557.0, 349.0], [180.0, 393.0]], ('√ˆ ®”Ê06868', 0.9212146)]]
2787.jpg	[[[[328.0, 97.0], [425.0, 74.0], [432.0, 103.0], [335.0, 126.0]], ('À’»Á”Ê07188', 0.582997)]]
2789.jpg	[[[[247.0, 352.0], [350.0, 366.0], [346.0, 392.0], [243.0, 378.0]], ('«Ì¡Ÿ”Ê80019', 0.699569)]]
